A&P parking field egress driveway — GNK|South|Embassy Court
Aladdin Avenue — NHP|Both|Gould Street
Aladdin Avenue — NHP[Added 6-17-2008 by Ord. No. T.O. 21-2008]|East|Denton Avenue
Aladdin Avenue — NHP|Both|Leonard Boulevard
Albertson Avenue — ALB[Added 12-10-2002 by Ord. No. T.O. 66-2002]|Both|I.U. Willets Road
Albertson Avenue — ALB[Amended 12-10-2002 by Ord. No. T.O. 66-2002]|South|Dorset Avenue
Albertson Circle Shopping Center northern driveway — ALB|West|Willis Avenue
Albertson Parkway — ALB|Both|Deepdale Parkway
Albertson Parkway — ALB[Added 3-4-2008 by Ord. No. T.O. 5-2008]|East|Willis Avenue
Albertson Parkway — ALB|West|Greenway
Albert Street — NHP[Added 6-6-2017 by Ord. No. T.O. 15-2017]|North|Wilton Street
Aldershot Lane — MHT|Both|Chapel Road
Allen Drive — GNK|Both|South Cherrybrook Place
Allen Drive — GNK|Both|Summer Avenue
Allenwood Road — GNK[Added 1-6-1998 by Ord. No. T.O. 1-1998]|Both|Berkshire Road
Allenwood Road — GNK|Both|Cambridge Road
Allenwood Road — GNK|Both|Essex Road - Imperial Court
Allenwood Road — GNK|East|Plymouth Road
Amber Court — NCS|West|Cedar Road
Amherst Place — PTW|Both|Richards Road
Amherst Road — ALB|Both|Campbell Parkway
Amherst Road — ALB|West|Croyden Court
Amherst Road — PTW|Both|Ivy Way
Amherst Road — PTW|Both|Luquer Road
Amherst Road — PTW|North|Vista Way
Amsterdam at Harbor-side egress driveway — PTW[Added 8-9-2005 by Ord. No. T.O. 26-2005]|South|Fairway Drive
Anchorage Road — PTW[Added 7-20-2004 by Ord. No. T.O. 25-2004]|West|Main Street
Andover Lane — MHT[Added 10-21-2003 by Ord. No. T.O. 41-2003]|South|Bayview Avenue
Andover Road — GNK|Both|Plymouth Road
Andrew Road — MHT|Both|Ryder Road
Andrew Road — MHT[Amended 3-25-2008 by Ord. No. T.O. 7-2008]|Both|Strathmore Road
Andrew Road — MHT[Added 8-31-1999 by Ord. No. T.O. 25-1999]|East|Woodcut Lane
Andrews Street — MHT|Both|Onderdonk Avenue
Anna Avenue — NCS|Both|Dayton Street
Anna Avenue — NCS|Both|East Third Street
Anna Avenue — NCS|Both|Elton Street
Anna Avenue — NCS|East|Grand Boulevard
Anna Avenue — NCS|West|Arlington Street
Ann Place — PTW|West|Glamford Avenue
Appletree Lane — CRL|West|Jamaica Boulevard
Appletree Lane — RHT|North|Princeton Street
Appletree Lane — RHT|South|Yale Street
Arbor Lane — RHT|East|Schoolhouse Lane
Arbor Lane — WBY[Added 3-11-2003 by Ord. No. T.O. 9-2003]|East|Maplewood Drive
Arcadia Lane — GNK[Added 5-3-2005 by Ord. No. T.O. 16-2005]|Southeast|Kensington Place
Argyle Road — ALB|Both|Campbell Parkway
Argyle Road — ALB|West|Croyden Court
Argyle Road — PTW[Added 9-12-2006 by Ord. No. T.O. 29-2006]|Both|Fenimore Road
Argyle Road — PTW[Added 9-12-2006 by Ord. No. T.O. 29-2006]|East|Kenworth Road
Arleigh Drive — ALB|Both|Deepdale Parkway
Arleigh Drive — ALB[Added 3-4-2008 by Ord. No. T.O. 5-2008]|East|Willis Avenue
Arleigh Drive — ALB[Added 3-19-2019 by Ord. No. T.O. 6-2019]|West|Greenway
Arlington Street — NCS|Both|Anna Avenue
Arlington Street — NCS|North|Grand Boulevard
Arlington Street — WBY|Both|Oliver Avenue
Armstrong Road — GCP|Both|Bedford Avenue
Armstrong Road — GCP|Both|Broadway
Armstrong Road — GCP*|Both|Crystal Place
Armstrong Road — GCP|Both|Madison Avenue
Armstrong Road — GCP[Added 7-15-2003 by Ord. No. T.O. 30-2003]|Both|Park Avenue
Armstrong Road — GCP|Both|Washington Street
Armstrong Road — GCP[Added 11-19-2019 by Ord. No. T.O. 38-2019]|North|Jackson Avenue
Asbury Avenue — CRL|Both|Knollwood Drive
Asbury Avenue — CRL|Both|Willow Lane
Ashford Place — ALB|Both|Bethel Road
Ashford Place — ALB[Added 12-10-2002 by Ord. No. T.O. 66-2002]|West|Willis Avenue
Ashland Avenue — NHP|Both|Terrace Boulevard
Ashland Avenue — NHP[Added 3-27-2007 by Ord. No. T.O. 11-2007]|East|Leonard Boulevard
Ashland Avenue — NHP[Added 3-12-2013 by Ord. No. T.O. 3-2013]|West|New Hyde Park Road
Aspen Lane — MHH[Added 3-31-2009 by Ord. No. T.O. 12-2009]|North|Larch Drive
Aspinwall Street — CRL|West|Cherry Lane
Aster Drive — NHP[Added 11-17-1998 by Ord. No. T.O. 40-1998]|Both|Laurel Drive
Aster Drive — NHP|Both|Major Lane
Atlantic Avenue — CRL|Both|Rushmore Avenue
Atlantic Avenue — CRL|East|Cherry Lane
Atlantic Avenue — GCP|Both|Hilton Avenue
Atlantic Avenue — GCP|Both|Nassau Boulevard
Atlantic Avenue — GCP|Both|Norton Avenue
Atlantic Avenue — GCP[Added 5-24-2005 by Ord. No. T.O. 19-2005]|West|Fifth Avenue
Avenue A — PTW|Both|Cross Street
Avenue A — PTW|East|Middle Neck Road
Avenue A — PTW|West|Orchard Street
Avenue B — PTW|Both|Durbyan Street
Stop Sign on|Direction of Travel|At Intersection of
* School crossing.
** Hinged-type sign.
Bagley Avenue — ALB|Both|Funston Avenue
Bank Street — PTW|North|Main Street
Bar Beach Road — PTW|Both|Birch Street
Bar Beach Road — PTW|Both|Elm Street
Bar Beach Road — PTW|Both|Orchard Street
Barnyard Lane — RHT|East|Schoolhouse Lane
Barnyard Lane — RHT|West|Roslyn Road
Barrington Street — NCS|Both|Anna Avenue
Barrington Street — NCS[Added 10-21-1997 by Ord. No. T.O. 36-1997]|North|Grand Boulevard
Barrington Street — NCS|Both|Oliver Avenue
Barry Park Court — SRT|North|I.U. Willets Road
Barwick Street — FPC|Both|Bryant Avenue
Barwick Street — FPC|Both|Lowell Avenue
Barwick Street — FPC|North|Whittier Avenue — Willis Avenue
Bates Road — GNK[Added 11-14-2000 by Ord. No. T.O. 46-2000]|East|Soundview Drive
Baxter Avenue — NHP|Both|Terrace Boulevard
Baxter Avenue — NHP[Added 3-27-2007 by Ord. No. T.O. 11-2007]|East|Leonard Boulevard
Baxter Avenue — NHP[Added 3-12-2013 by Ord. No. T.O. 3-2013]|West|New Hyde Park Road
Bay Green Lane — PTW|North|Harbor Road
Bayside Drive — GNK|Both|Crosswood Road
Bayside Drive — GNK[Added 1-31-2017 by Ord. No. T.O. 2-2017]|West|Rosemont Place
Bayside Drive — GNK|West|Shorecliff Place
Bayside Drive —GNK/HH[Added 1-22-2020 by Ord. No. T.O. 1-2020]|East|Rosemont Place
Bayview Avenue — GNK|Both|Woodland Way
Bayview Avenue — MHT|East|Linden Street
Bayview Avenue — MHT[Added 5-8-2007 by Ord. No. T.O. 17-2007]|East|Travers Street
Bayview Avenue — MHT[Added 7-10-2012 by Ord. No. T.O. 15-2012]|Northeast|Maple Avenue
Bayview Avenue — MHT[Added 7-10-2012 by Ord. No. T.O. 15-2012]|South|Maple Avenue
Bayview Avenue — MHT|West|Bayview Terrace
Bayview Avenue — MHT|West|Cambridge Lane
Bayview Avenue — MHT[Added 7-10-2007 by Ord. No. T.O. 24-2007]|West|Exeter Lane
Bayview Avenue — PTW[Added 2-11-2003 by Ord. No. T.O. 4-2003]|Both|Belleview Avenue
Bayview Avenue — PTW|Both|Carlton Avenue
Bayview Avenue — PTW|Both|Mackey Avenue
Bayview Avenue — PTW|Both|Preston Street
Bayview Avenue — PTW|East|Haven Avenue
Bayview Avenue — PTW[Added 3-28-2000 by Ord. No. T.O. 9-2000]|West|North Plandome Road
Bayview Terrace — MHT|South|Bayview Avenue
Beacon Drive — PTW|Both|Beacon Hill Road
Beacon Hill Road — PTW|East|Crescent Road (western intersection)
Beacon Hill Road — PTW|West|Stratford Road
Bedford Avenue — GCP|Both|Armstrong Road
Bedford Avenue — GCP|Both|Hilton Avenue
Bedford Avenue — GCP|Both|Nassau Boulevard
Bedford Avenue — GCP|Both|Thorens Avenue
Bedford Avenue — GCP|West|Fifth Avenue
Bedford Road — PTW|North|Longview Road
Bedford Road — PTW|South|Beacon Hill Road
Beech Street — NHP|South|Bryant Avenue
Beechwood Avenue — MHT[Added 4-24-2001 by Ord. No. T.O. 12-2001]|East|Munsey Place
Beechwood Avenue — MHT|West|Nassau Avenue
Beechwood Avenue — PTW[Added 6-10-1997 by Ord. No. T.O. 15-1997]|East|Haven Avenue
Beechwood Avenue — PTW[Added 6-10-1997 by Ord. No. T.O. 15-1997]|West|Mackey Avenue
Beechwood Lane — NHP|North|Laurel Drive
Beechwood Lane — NNH|South|Primrose Drive
Belleview Avenue — PTW|Both|Bayview Avenue
Belleview Avenue — PTW|Both|Franklin Avenue
Bellwood Drive — NHP[Added 11-12-1996 by Ord. No. T.O. 61-1996]|Both|Edgewood Drive
Belmont Avenue — NHP|Both|Leonard Boulevard
Belmont Avenue — NHP[Added 7-29-2008 by Ord. No. T.O. 25-2008]|East|Broadway
Belmont Avenue — NHP[Added 6-17-2008 by Ord. No. T.O. 21-2008]|East|Denton Avenue
Belmont Avenue — NHP[Added 7-29-2008 by Ord. No. T.O. 25-2008]|West|Gould Street
Belmont Place — NCS|North|Grand Boulevard
Belmont Road — GNK[Added 5-3-2005 by Ord. No. T.O. 16-2005]|Southeast|Kensington Place
Bergman Avenue — NNH|Both|Lawrence Street
Bergman Street — NNH|Both|Evans Street
